"Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
1419,12743,1053,4593,4671,1101,6396,1687,705
1149,15526,1072,4689,5347,736,8354,1704,748
1361,15334,1032,4593,5000,1067,6530,1498,838
1025,14418,992,4403,4798,873,5782,1594,770
1363,13969,1068,4092,5461,869,6607,1712,650
1096,14598,986,4277,4908,1141,7018,1616,656
1209,15650,1009,4459,4425,1084,7471,1832,674
993,14927,1027,4285,5664,971,8075,1749,666
1321,13322,1080,4461,4435,1061,6825,1712,816
1293,14292,1090,4614,5206,1078,6845,1622,736
1322,13119,1051,5064,4907,944,6328,2062,690
1001,17781,1082,5085,4422,998,5983,1830,718
1070,15242,934,5052,5209,902,6484,1808,694
1076,13779,987,4926,4740,1072,7420,1523,750
1324,15338,1097,3117,4656,1156,6734,1655,574
1255,14720,984,5546,5166,890,7138,1588,526
1160,13522,1031,3382,5441,991,7648,1402,695
1157,16182,1050,3821,4913,974,7492,1821,692
1401,15049,1057,4265,4921,847,6708,1702,827
1241,15652,1092,5048,5174,1069,6596,1616,588
1409,15430,962,4676,4537,1047,6910,1588,697
1268,14863,1034,4622,5415,1092,6530,1985,783
1091,15693,1026,5137,5594,1093,6243,1856,665
1320,13527,1103,3670,5071,1184,6336,1714,726
1215,13027,1059,4300,5769,755,6515,2004,902
1354,16818,1087,4731,5158,789,5677,1694,627
1306,15162,1053,5130,5245,936,5600,1524,498
1281,14940,1094,4904,4826,876,7772,1635,604
1430,14772,995,4413,5568,886,8632,1739,674
1188,15108,1076,4595,4929,1152,5912,1763,516
1068,14570,1122,4766,5535,918,6828,1636,748
1079,14319,1079,4430,5261,1025,7425,1453,802
1156,16341,1053,4325,4749,886,6172,1720,777
1394,13408,1077,4630,4518,873,7259,1396,696
1366,14356,1150,5121,5227,1009,6631,1663,511
1268,15103,1012,5554,4775,1178,8163,1743,648
1336,16645,1104,4220,5682,1066,6584,1647,867
1096,15177,994,4327,5497,1079,6840,1723,595
1517,14781,1046,4797,4555,1128,6745,1475,734
1036,16288,1131,4063,5560,1014,7151,2101,664
1499,15186,971,4160,4304,1053,7571,1559,658
1145,16540,1100,3699,5188,1002,6401,1341,609
961,16128,1023,4677,4611,807,6695,1695,633
1463,15011,1013,4812,4792,829,6953,1906,794
1221,14124,1000,4159,5423,1087,5845,1570,813
1078,14568,1031,5753,4831,706,6580,1850,735
917,13789,1009,4831,5083,984,6857,1660,778
1181,16398,1095,4464,5588,1006,6003,1826,805
1235,17052,1003,3565,5279,1190,7620,1756,736
999,17222,1032,4833,4835,887,7855,1586,709
1370,14715,989,4899,5479,1035,8718,1719,808
1228,14542,1000,5036,5000,1068,5696,1574,868
1403,13350,1158,4497,4720,883,7021,1755,671
1403,12718,987,5272,5026,1067,6486,1656,657
1383,15093,1070,4947,4750,1174,5962,1908,798
987,16408,1015,5049,5377,1054,7377,1992,733
1183,15741,1064,5194,4593,1007,5835,1769,529
1066,15430,1034,4391,4820,993,6695,1697,626
1059,12164,1058,5252,4661,814,7065,1600,733
1209,16631,1054,4579,4986,777,7338,1784,556
1245,14817,1109,4718,5052,1063,7746,1820,758
1303,17121,1086,3541,5456,938,6915,1643,741
