"simulation","iteration","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
397,1952,0.863581,0.854267,0.863502,0.878279,0.875059
398,2311,0.887121,0.916273,0.857727,0.879788,0.882909
399,2635,0.860683,0.868397,0.852004,0.875228,0.88621
400,3778,0.840225,0.854606,0.866497,0.887949,0.885512
401,4120,0.858352,0.850329,0.846332,0.894205,0.891354
402,7032,0.802917,0.893299,0.877033,0.906962,0.894437
403,4609,0.854947,0.786271,0.868807,0.876773,0.870939
404,1975,0.877199,0.890279,0.885624,0.904729,0.909127
405,4788,0.842974,0.89677,0.811827,0.85638,0.879345
406,1943,0.882551,0.903575,0.881643,0.908143,0.890457
407,3262,0.849586,0.861505,0.87123,0.886381,0.891605
408,1930,0.868721,0.870625,0.868014,0.887024,0.893089
409,1701,0.87197,0.88163,0.889988,0.89254,0.895092
410,2873,0.870859,0.912284,0.869059,0.887648,0.892007
411,3895,0.81324,0.867365,0.824101,0.860124,0.839385
412,2061,0.884977,0.880596,0.864195,0.892616,0.890617
413,2207,0.851736,0.847255,0.84703,0.85013,0.876733
414,2822,0.878922,0.924686,0.894335,0.897188,0.903293
415,1750,0.88819,0.881509,0.889969,0.889299,0.905548
416,1620,0.892203,0.889565,0.875027,0.895569,0.895272
417,3344,0.851426,0.890147,0.88719,0.900848,0.895807
418,7188,0.79421,0.890886,0.871567,0.877476,0.896363
419,6012,0.795038,0.863221,0.852385,0.879889,0.883323
420,5543,0.828295,0.814653,0.833642,0.863179,0.884104
421,6098,0.824231,0.876581,0.859065,0.847957,0.909177
422,3098,0.850403,0.833347,0.875467,0.884121,0.853466
423,5458,0.818416,0.895474,0.861985,0.885743,0.875047
424,4312,0.801608,0.892917,0.843349,0.882785,0.886213
425,4432,0.827558,0.842706,0.880587,0.873462,0.885457
426,2131,0.861142,0.855712,0.869544,0.882044,0.877459
427,4033,0.84464,0.822157,0.842283,0.88955,0.828248
428,7159,0.80393,0.87598,0.870239,0.90644,0.900078
429,6208,0.806055,0.880881,0.85696,0.891834,0.885534
430,4074,0.850993,0.83754,0.864183,0.859591,0.89685
431,11070,0.770587,0.77315,0.840177,0.893359,0.864497
432,4436,0.836438,0.854792,0.865909,0.903167,0.885033
433,3062,0.839655,0.86545,0.861085,0.890372,0.851764
434,5809,0.834922,0.88344,0.870289,0.912754,0.913333
435,6745,0.810723,0.881542,0.872339,0.873673,0.908162
436,1782,0.878755,0.881058,0.857176,0.876996,0.874305
437,5587,0.869291,0.820202,0.839899,0.881015,0.885432
438,2483,0.840564,0.858288,0.863552,0.815592,0.86461
439,3681,0.800396,0.851515,0.840601,0.813239,0.829281
440,3895,0.816598,0.866611,0.84462,0.806086,0.865533
441,6367,0.802151,0.871196,0.852989,0.890532,0.867894
442,7266,0.840103,0.78002,0.850763,0.877648,0.820832
443,3766,0.838832,0.868634,0.858032,0.873355,0.829918
444,2736,0.856259,0.866644,0.876778,0.899591,0.870367
445,6559,0.804699,0.83853,0.819795,0.903348,0.851001
446,1925,0.880694,0.878207,0.867168,0.880448,0.894794
447,5523,0.833786,0.806084,0.854086,0.886849,0.864409
