"Year","Area Unit","Area Group","Wheat","Rice","Maize","Other Cereals","Soybean","Oil Palm","Other Oilseeds","Fibre Crops","Sugar Crops","Roots and Tubers","Fruits","Vegetables"
2010,"Belarus",NA,1739110,0,550586,4451988,0,0,387645,45782,3773390,7831111,810241,2341830
2010,"Belgium","EU-28",1849584,0,745891,445933,0,0,54265,64044,4464778,3455800,699818,2000571
2010,"Brazil",NA,6171250,11235986,55364271,2388645,68756343,1292713,3401037,3311604,717463793,29256620,38895080,11337816
2010,"Bulgaria","EU-28",4094597,57432,2047414,937006,1647,0,2094626,974,0,251205,395527,502987
2010,"Canada",NA,23299600,0,12043300,10779300,4444600,0,13462435,28500,508000,5440612,702168,2213560
2010,"Chile",NA,1523921,94673,1357921,611948,0,0,114330,19063,1420268,1093463,6037379,2010116
2010,"China",NA,115181000,195760992,177425000,7976200,15083300,660000,34925091,18239915,120084900,148359695,124675414,528805500
2010,"Croatia","EU-28",681017,0,2067815,265675,153580,0,141679,0,1249151,178611,393623,1115824
2010,"Cyprus","EU-28",18889,0,0,46843,0,0,15117,0,0,84020,179728,107479
2010,"Czechia","EU-28",4161553,0,692589,2027928,16135,0,1143958,33,3064986,665176,189833,164387
2010,"Denmark","EU-28",5059900,0,45700,3757600,0,0,580023,0,2409000,1357800,67033,282636
2010,"Egypt",NA,7177399,4329503,7041099,916742,43342,0,683810,388739,23549183,4138003,9599264,19487642
2010,"Estonia","EU-28",327600,0,0,350772,0,0,131179,0,0,163717,5071,73889
2010,"Finland","EU-28",724400,0,0,2267348,0,0,178500,0,542100,659100,16738,252327
2010,"France","EU-28",38207431,120170,13975285,13536317,140059,0,6618940,373147,31874920,6657725,8737562,5353058
2010,"Germany","EU-28",23782955,0,4211501,16044283,2000,0,5764459,0,23431929,10143090,2195774,3344553
2010,"Greece","EU-28",1920670,208210,2138486,455142,1369,0,2707897,710533,889400,926729,3214278,4066984
2010,"Hungary","EU-28",3745190,5893,6984872,1533404,85440,0,1518848,447,818941,439897,1069380,1144633
2010,"India",NA,80803600,143963008,21725800,21345900,12736000,0,29047600,19665500,292301600,45731800,75108330,100650895
2010,"Indonesia",NA,0,66469392,18327636,0,907031,97800000,19303168,171409,26600000,27394969,15170191,9862726
2010,"Iran",NA,12142988,2489999,1656996,3307249,157401,0,347855,167426,9514294,4275001,12752308,19083263
2010,"Ireland","EU-28",669200,0,0,1374581,0,0,28100,0,50432,419600,37499,205030
2010,"Italy","EU-28",6849858,1516400,8495940,1640706,552500,0,3526801,1367,3550100,1566711,17468972,14528237
2010,"Japan",NA,571300,10604000,166,191148,222500,0,17781,1,4559000,3555000,2897992,11282023
2010,"Latvia","EU-28",989400,0,0,446100,0,0,228236,42,0,484000,13084,151135
2010,"Lithuania","EU-28",1710400,0,47500,1038800,0,0,418400,9,706700,476900,44144,173312
2010,"Luxembourg","EU-28",83474,0,3116,79594,0,0,15895,0,0,19531,17502,1249
