"Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
1366,15679,978,4531,4554,747,8612,1783,632
1419,15487,975,4742,4245,914,7081,1440,742
1284,14736,1051,4999,4928,750,7051,1440,673
1050,14603,946,3837,4382,988,6798,1277,812
1290,16025,1000,4488,4272,944,7899,1788,648
1254,16755,1070,4223,4681,780,6628,1269,626
1595,16383,1035,4149,4637,861,8252,1433,687
1096,15582,974,4878,4300,822,7322,1384,566
914,12782,1011,4575,4690,873,7321,1664,875
1215,14467,1007,4440,4521,831,6974,1482,734
1448,12087,1030,4978,4460,1001,7515,1646,463
1350,14648,1047,4908,4442,894,8572,1658,761
1233,14639,976,5136,4792,739,8134,1696,553
1056,13581,1019,4519,4587,1042,5014,1551,631
1015,14726,998,5295,4754,1174,7443,1423,504
1439,14231,1082,5128,3908,1123,8304,1480,645
1440,12904,963,4191,5069,792,6266,1747,656
1482,15074,1080,4486,4715,996,6610,1755,690
1344,12353,1008,4272,4280,894,7444,1555,617
1391,13368,963,4844,4746,761,6531,1587,825
893,13719,1096,4618,4596,826,6677,1791,619
1093,14358,912,4189,4797,832,5566,1659,745
1410,13621,1020,4902,3992,949,6772,1347,638
1047,13854,1006,4961,4941,897,7598,1805,660
1343,15738,957,4992,4647,740,7660,1803,525
1444,14941,927,4906,4023,1034,6252,1467,564
1110,15960,914,3824,5051,900,8539,1783,589
1303,15427,961,4629,4696,873,6280,1521,833
1144,15504,942,3879,4589,977,6410,1458,581
1718,17601,948,4870,4712,975,6678,1757,707
1078,15932,983,5311,5086,970,6693,1884,834
1326,15527,967,4800,4512,730,6960,1541,781
1476,13910,958,4976,4328,1084,6668,1387,724
1511,13555,1019,5045,4914,1116,7731,1584,587
1155,13015,966,4607,4519,890,6552,1536,537
1067,12493,1038,5240,4719,704,6983,1774,582
1382,15287,963,4240,4331,1010,6417,1466,644
1301,13993,1074,3695,4574,845,7919,1506,682
1388,13184,1028,4169,4725,871,6751,1433,672
1282,14414,1000,3810,4532,940,4945,1374,668
1115,14685,1116,4800,5451,1028,8248,1802,771
1442,16053,959,5204,4718,867,7448,1588,761
1447,13622,1012,4109,4311,973,8112,1371,670
1470,14431,1031,4847,4777,798,7091,1817,837
1087,13205,1054,4940,4564,747,7253,1571,821
1494,13291,1020,3899,4634,835,6607,1561,852
1084,14099,859,4163,4610,947,7742,1610,782
1336,13667,953,5275,4124,1297,7449,1549,691
1246,14040,1114,3816,4787,1084,7102,1595,727
1371,13553,932,4085,4282,1163,6906,1590,641
1186,14328,1004,4926,4467,746,8475,1714,644
1028,15892,1040,5504,4323,954,7694,1507,707
1244,13791,1072,4730,4968,934,6964,1492,801
1020,16503,1111,4110,4294,968,7461,1636,699
1218,17693,1071,3978,4528,1226,7382,1571,731
1198,15462,917,3596,5026,1076,6592,1497,786
1078,14223,1020,4571,4632,780,7102,1295,725
1261,14525,1027,4214,4189,874,7805,1606,616
1333,16621,910,4332,4286,658,7412,1596,769
1227,15679,986,4309,3882,784,6848,1224,785
1031,13965,1016,4578,4376,948,8281,1654,715
1216,15136,990,4496,4532,1017,6787,1733,688
1198,13708,978,4357,4484,1041,6755,1524,537
1054,15475,1022,5201,4439,828,7539,1401,699
1266,13919,970,3920,4714,774,8321,1429,684
1139,12953,1094,3635,4126,719,7605,1491,701
1650,14958,960,4141,4820,830,7628,1464,688
1313,11096,997,4497,4621,886,7243,1700,634
1011,13468,997,4659,4589,874,6545,1495,738
892,14433,920,3822,4534,688,7900,1704,662
1239,14769,1023,4296,4775,782,7333,1871,624
1491,14155,951,4813,3501,1066,7710,1998,677
1085,15708,1043,4792,3975,742,6559,1277,657
1567,14474,1003,4774,4483,874,6956,1738,637
1417,12500,1001,5573,3996,843,6896,1662,659
1335,12706,1018,4475,4540,736,7823,1737,541
1319,15223,936,3823,4346,939,8068,1323,583
1287,14961,1006,5157,4869,1103,7685,1525,639
1143,15428,1027,4824,3607,1156,7416,1739,918
1416,16040,1067,4669,4659,930,7122,1573,607
1057,14360,932,4710,4310,812,7028,1294,730
1542,14023,1023,4363,4208,943,6550,1488,813
1422,15633,1052,4743,4434,735,6632,1193,634
1318,14221,1006,4646,3915,949,7762,1797,677
1388,14625,951,4895,3893,1062,6789,1395,680
1254,14535,988,4437,4521,1113,6239,1441,821
1274,15871,991,4465,3909,1065,7326,1566,743
1206,13955,1031,3742,4640,851,6702,1426,478
1176,14529,911,4977,4203,766,7511,1592,810
910,15178,943,4262,4203,985,6955,1809,744
1401,12979,970,5121,4504,933,7784,1341,1011
1277,14743,1067,3972,5335,1062,7484,1326,680
1261,16223,1038,4423,5101,1125,7640,1613,694
1138,12982,945,4212,4311,1055,8686,1590,640
1595,13169,936,5158,4772,603,5555,1598,715
1214,16168,966,4242,4698,753,6485,1537,718
1289,14525,1042,5130,4880,968,6179,1538,844
1335,14493,1012,5469,3960,838,7488,1600,838
1116,14641,1109,4990,4312,987,7535,1752,637
1262,15633,995,3690,4819,1069,6731,1538,574
1208,14099,968,4772,4714,1008,7275,1539,718
1480,13587,980,4437,3986,950,7409,1638,643
1444,14802,1042,4739,4704,981,6986,1758,687
1322,16202,864,4090,4842,737,6767,1547,766
1310,14803,1000,5095,4797,937,5980,1612,636
1098,14967,1030,5072,4516,713,6084,1477,736
1108,13883,1053,4363,4383,826,8274,1304,793
1089,15654,1024,4376,4320,1086,8144,1349,813
1288,12401,989,4218,5158,809,8669,1831,703
1463,15299,937,5284,4247,816,8526,1695,628
1551,15594,1087,4311,4168,1027,6024,1328,678
1317,15274,1010,4498,4763,1163,6154,1594,675
1418,14129,1031,4908,4164,1159,8745,1901,499
1572,16002,939,4158,4976,1065,6605,1666,746
1105,11722,1013,5308,4553,997,7227,1758,717
1411,15020,1057,4665,4224,856,6975,1613,648
1368,15097,1007,4247,4699,863,7675,1596,742
1357,14619,1004,4310,4868,1043,8556,1627,642
982,15139,985,3969,4224,917,7045,1721,783
1156,15187,991,3364,4873,858,5866,1602,630
1418,13539,987,4666,4573,861,7748,1885,739
1141,16751,915,4259,5216,868,7994,1469,909
1305,12004,1007,4499,4656,807,7304,1523,861
1362,15837,994,4706,4734,955,8373,1357,753
1130,13668,972,4181,4644,1063,5868,1823,687
1232,15253,968,4890,4722,911,8496,1511,778
1432,12273,1057,4152,5239,1119,6102,1721,735
1146,14731,1106,3955,4412,1083,7732,1490,564
1369,15704,1115,4292,4960,809,7785,1615,765
1443,14850,1057,4554,3709,976,8870,1609,818
1204,14726,991,4430,4843,799,7997,1448,794
1182,13780,1050,4318,4602,799,7785,1890,708
1679,12899,1025,4895,5345,881,7928,1809,677
1148,15541,1030,4928,4323,1017,7256,1187,751
1063,15236,918,3901,4540,916,6871,1385,556
1345,15964,1030,3582,4610,895,7148,1404,919
1321,15160,1086,5117,4469,925,6843,1382,759
1020,17919,1080,4129,4688,881,8659,1869,853
1125,14674,929,5614,4536,971,8336,1745,588
1266,13642,1046,4390,3840,821,8557,1417,737
1145,15036,1033,4037,4139,846,5706,1694,551
1004,16309,976,4622,3896,910,7297,1558,734
1096,12727,975,4044,4377,846,6774,1855,646
1120,14985,1037,4188,4188,816,6088,1804,930
1373,16066,1076,4994,5187,819,6473,1650,727
1358,16060,946,4279,3708,923,6165,1631,673
1044,16450,1015,5198,5216,1029,7486,1864,589
1262,15843,884,4284,4721,965,6995,1607,568
1338,13766,935,5422,4362,830,7439,1645,690
1500,14647,987,5342,4803,961,7652,1587,844
1157,12567,943,4480,3967,740,7511,1546,724
1175,13330,1004,4388,4242,975,7098,1328,788
1174,15880,973,5432,4079,673,8384,1550,610
1225,14814,990,5328,4074,954,6622,1703,719
1587,14668,991,4506,4457,1250,6457,1445,709
1297,14962,939,4707,5494,1103,8840,1672,705
1316,15470,1046,4398,3995,981,7414,1407,639
1376,14203,967,4727,3646,951,7308,1657,730
1377,13531,942,4031,4262,957,7493,1174,560
973,13051,1084,3968,3901,874,5945,1483,698
1508,13621,945,5073,4704,723,8010,1447,795
1218,13445,990,4489,4208,980,6534,1944,597
1441,15207,1058,4861,5015,808,8504,1750,649
1315,14611,954,5390,4379,1125,7897,1807,594
