"Scenario","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
"Business As Usual",3908,1089,4129,1998,2734
"Business As Usual",3655,2055,4272,2298,2654
"Business As Usual",4027,1038,4522,2072,1944
"Business As Usual",2958,1243,4451,1700,2877
"Business As Usual",3332,1410,4236,1253,3102
"Business As Usual",4061,1728,4446,2043,2864
"Business As Usual",4116,1125,4627,2334,2646
"Business As Usual",3183,1333,4118,1924,1642
"Business As Usual",3202,958,4195,1442,2840
"Business As Usual",3805,1094,4411,2010,2368
"Business As Usual",3656,1578,4286,1819,2052
"Business As Usual",3267,2082,4367,1923,2612
"Business As Usual",3549,1066,4971,1979,2432
"Business As Usual",4300,1336,4424,1916,2731
"Business As Usual",3893,1144,4323,2081,2853
"Business As Usual",4454,1416,4264,2534,3344
"Business As Usual",4060,2110,4450,1773,2794
"Business As Usual",3334,1456,4153,1572,2412
"Business As Usual",2834,1193,4002,1761,2445
"Business As Usual",3931,1875,3911,1624,2466
"Business As Usual",3560,1166,3983,1766,3001
"Business As Usual",3502,1219,3951,980,2667
"Business As Usual",3525,1311,4679,2769,2727
"Business As Usual",4092,484,4345,1849,3129
"Business As Usual",3644,1771,4216,993,2885
"Business As Usual",3854,1043,3361,2022,2797
"Business As Usual",3672,1314,4092,1360,2187
"Business As Usual",3359,1013,3840,1967,2050
"Business As Usual",4378,1365,5073,1870,2686
"Business As Usual",3645,1378,5127,2046,2429
"Business As Usual",4189,1032,3813,2463,2366
"Business As Usual",3733,1803,4799,1982,2805
"Business As Usual",4139,1138,4296,1784,3041
"Business As Usual",3861,2058,3430,1748,2602
"Business As Usual",3477,1541,3965,2045,2823
"Business As Usual",2678,438,4514,1587,2201
"Business As Usual",4611,908,4904,1837,2716
"Business As Usual",3864,2103,4800,2368,2529
"Business As Usual",3463,830,3635,1590,2673
"Business As Usual",3720,1143,4374,1914,2827
"Business As Usual",3349,1036,4076,1838,2736
"Business As Usual",4015,1473,3923,2107,2528
"Business As Usual",4756,2110,4575,1872,2895
"Business As Usual",4950,1328,4238,2028,3251
"Business As Usual",4639,2261,4729,2996,2941
"Business As Usual",3321,1127,4316,1952,3659
"Business As Usual",3391,890,3433,960,2468
"Business As Usual",3708,1304,4215,1925,2005
"Business As Usual",3780,749,3176,1690,2222
"Business As Usual",3457,1070,4042,1890,2878
"Business As Usual",3517,1231,4037,1860,2297
"Business As Usual",4537,1183,4054,2129,2985
"Business As Usual",3286,861,4226,920,2354
"Business As Usual",3809,1016,5191,1728,2658
"Business As Usual",3220,350,3298,1942,2529
"Business As Usual",3552,976,4606,1591,2896
"Business As Usual",3383,342,3836,1646,1579
"Business As Usual",3937,692,5092,1996,2969
"Business As Usual",3875,776,4309,1858,2910
"Business As Usual",4335,1215,3874,2034,2549
"Business As Usual",3577,1703,3082,1793,2621
"Business As Usual",4220,803,4560,1803,2610
"Business As Usual",4390,1209,3913,1927,2538
"Business As Usual",3819,1545,4001,1509,2870
"Business As Usual",3612,864,4060,1908,3444
"Business As Usual",3642,941,4026,1600,2331
"Business As Usual",2879,1285,3990,2394,2852
"Business As Usual",3350,1888,3976,1662,2482
"Business As Usual",3769,1473,5013,1908,2613
"Business As Usual",3984,1305,4478,1558,2618
"Business As Usual",3615,1376,3762,1818,2520
"Business As Usual",3917,1394,4418,2028,2813
"Business As Usual",2924,1268,4531,2200,2578
"Business As Usual",3635,1670,3571,2166,2177
"Business As Usual",3988,1520,3665,1881,2712
"Business As Usual",3403,2012,3676,1016,1727
"Business As Usual",3582,349,3111,2007,2483
"Business As Usual",3511,254,4276,1918,2378
"Business As Usual",3341,1124,3717,1963,3011
"Business As Usual",3392,1049,3552,1754,2387
"Business As Usual",3156,1086,4344,1758,2800
"Business As Usual",3308,1163,3412,1985,2537
"Business As Usual",3394,1302,3989,1998,2429
"Business As Usual",3783,1098,4427,1733,2640
"Business As Usual",4300,1588,4352,1637,2523
"Business As Usual",2683,1205,4356,2381,2422
"Business As Usual",3912,935,4470,999,1841
"Business As Usual",4960,1492,4306,1963,2181
"Business As Usual",3316,1236,3489,2024,2495
"Business As Usual",3467,1631,3250,1929,2546
"Business As Usual",3467,1426,3975,2677,2213
"Business As Usual",4231,1552,3990,1834,2546
"Business As Usual",4251,1266,4327,1989,2784
"Business As Usual",3857,1287,4681,2399,2286
"Business As Usual",2691,1302,4087,2114,2523
"Business As Usual",3693,1865,4044,1858,3017
"Business As Usual",3225,1797,4653,1771,2347
"Business As Usual",3978,1915,4466,2096,2918
"Business As Usual",4995,2327,4737,1843,2696
"Business As Usual",3852,1053,4455,2042,2526
"Business As Usual",3892,1094,4286,1610,2532
"Business As Usual",3552,1032,3935,1902,2272
"Business As Usual",3474,933,4197,1614,3015
"Business As Usual",3932,904,3947,1950,2573
"Business As Usual",4552,1399,3725,1717,2745
"Business As Usual",3257,969,3859,1524,3120
"Business As Usual",2611,1263,3539,1651,1953
"Business As Usual",4284,2044,4156,1541,2589
"Business As Usual",3895,1140,4292,2988,3274
"Business As Usual",3778,1062,5081,1660,2418
"Business As Usual",3828,1226,4445,1786,2126
"Business As Usual",4335,1162,4856,2340,2216
"Business As Usual",4528,1116,4163,1963,2753
"Business As Usual",3753,1138,4639,1713,3305
"Business As Usual",3778,1301,4303,1949,2710
"Business As Usual",4333,1387,4241,1820,2590
"Business As Usual",3277,1336,4072,1268,2574
"Business As Usual",3816,1339,4437,1973,2357
"Business As Usual",3609,1592,4433,1687,3010
"Business As Usual",4248,1266,4882,1988,2462
"Business As Usual",4143,1140,4213,1946,2249
"Business As Usual",3683,1654,4027,2600,2498
"Business As Usual",3312,1137,3843,1580,1541
"Business As Usual",4563,1055,4084,1795,2565
"Business As Usual",3265,973,3878,1583,1687
"Business As Usual",3390,1495,3811,1616,1944
"Business As Usual",3506,1308,3864,1855,2388
"Business As Usual",3743,1343,3636,2452,2766
"Business As Usual",3550,2167,4325,1291,2767
"Business As Usual",2806,1426,4009,1975,2292
"Business As Usual",3564,1803,4162,2450,2533
"Business As Usual",3863,1503,4147,1761,2406
"Business As Usual",3507,991,4124,1610,1975
"Business As Usual",4293,1365,4090,1822,2339
"Business As Usual",3885,1471,4495,2054,2881
"Business As Usual",3888,780,3977,1900,2739
"Business As Usual",3268,1312,4400,1828,2898
"Business As Usual",3024,962,4162,1663,2407
"Business As Usual",3668,1259,4308,1567,2662
"Business As Usual",4014,1444,4310,2010,2671
"Business As Usual",3543,1072,4397,1763,2657
"Business As Usual",3732,1763,4109,1937,2689
"Business As Usual",3324,1360,3926,1920,2777
"Business As Usual",3905,1349,4375,2058,2638
"Business As Usual",3598,1402,3197,1873,2629
"Business As Usual",3570,1314,4079,1751,3490
"Business As Usual",3301,629,4240,900,2237
"Business As Usual",3519,1253,4246,998,2028
"Business As Usual",3389,1273,4297,2757,2705
"Business As Usual",3942,1431,5522,1698,2200
"Business As Usual",3326,1183,4208,2375,2747
"Business As Usual",3505,1567,3814,1700,2418
"Business As Usual",3859,945,4085,1919,2704
"Business As Usual",4285,1798,4486,2443,2749
"Business As Usual",4360,1245,4363,1778,2820
"Business As Usual",4061,1527,4258,1793,3459
"Business As Usual",2931,1365,3608,2008,2773
"Business As Usual",2930,1335,4398,1403,2640
"Business As Usual",3846,614,4128,1507,2888
"Business As Usual",3885,460,4459,1920,2870
"Business As Usual",3760,1095,4277,2054,2799
"Business As Usual",3568,1095,4389,1487,2510
"Business As Usual",3494,1763,4324,1974,2486
"Business As Usual",3570,1061,3564,1888,3162
"Business As Usual",3972,1146,4472,1789,2831
"Business As Usual",3652,2053,4288,1826,2747
"Business As Usual",4010,1147,4596,1983,3200
"Business As Usual",3492,1337,3754,2050,2724
"Business As Usual",3595,1103,3610,1409,1679
"Business As Usual",3743,1461,4515,2547,2446
"Business As Usual",3860,1368,4578,2079,3104
"Business As Usual",3719,1054,3859,1651,3022
"Business As Usual",3597,1077,4650,1751,3402
"Business As Usual",3951,1392,4518,1803,2848
"Business As Usual",3850,379,3991,1895,2865
"Business As Usual",4211,901,4021,1688,2695
"Business As Usual",2974,1040,3420,1632,2146
"Business As Usual",2852,1212,4955,2815,2048
"Business As Usual",3899,1952,4597,1403,2906
"Business As Usual",2569,1223,4622,1703,2566
"Business As Usual",3729,1416,3576,1844,3843
"Business As Usual",3509,1937,4256,1759,2286
"Business As Usual",4430,1257,4335,2083,2921
"Business As Usual",3550,1126,3856,1308,2235
"Business As Usual",3108,1575,4051,1623,2766
"Business As Usual",3789,1384,4577,1352,2933
"Business As Usual",4237,1273,4590,2250,3030
"Business As Usual",3935,1363,4127,1750,2805
"Business As Usual",3826,1969,4033,1949,2602
"Business As Usual",3187,1291,3898,1776,2730
"Business As Usual",3908,1550,3492,1784,2497
"Business As Usual",4044,353,4294,1928,2780
"Business As Usual",3762,1282,5208,1426,2569
"Business As Usual",3649,1116,4568,1779,3256
"Business As Usual",4289,2017,4611,1763,3175
"Business As Usual",3870,1410,4193,1811,3080
"Business As Usual",4388,1094,4061,2122,2671
"Business As Usual",3346,861,4275,1755,2335
"Business As Usual",3921,2034,4241,1720,2731
"Business As Usual",3505,1226,3623,1688,1625
"Business As Usual",3614,615,4142,1780,2421
"Business As Usual",3669,1263,4304,1942,2385
"Business As Usual",2885,625,3998,1968,2808
"Business As Usual",4389,1294,4743,2977,2715
"Business As Usual",3683,1279,4153,2682,2217
"Business As Usual",3593,1097,3965,1770,2487
"Business As Usual",3751,2089,4387,1999,3003
"Business As Usual",3318,335,4206,1590,2395
"Business As Usual",3379,1051,4090,2479,2345
"Business As Usual",3815,1174,4496,2003,2921
"Business As Usual",3593,1097,4957,1749,2330
"Business As Usual",3096,1428,4370,2074,2512
"Business As Usual",4539,1962,5202,1875,2713
